S.No,District,Year,Season,Crop,Rainfall(mm),Minimum Temparature(C),Maximum Temperature (C),Ph,N(Kg/Hectar),P(Kg/Hectar),K(Kg/Hectar),Zn(ppm),Fe(ppm),Cu(ppm),Mn(ppm),Irrigation(MBGL),Yield (Bales/Hectare)
74,Nagarkurnool,2017 - 2018,Kharif,cotton(lint),106.62,26.5,36,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,17.47,1.53
75,Nagarkurnool,2018 - 2019,Kharif,cotton(lint),72.82,,,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,13.32,0.89
76,Nagarkurnool,2019 - 2020,Kharif,cotton(lint),111.58,20.1,44.7,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,14.14,3.36
77,Nalgonda,2014 - 2015,Kharif,cotton(lint),93.52,28.9,41,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,,1.64
78,Nalgonda,2015 - 2016,Kharif,cotton(lint),136.65,28.2,38,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,,1.88
79,Nalgonda,2016 - 2017,Kharif,cotton(lint),118.0733333,28.6,38.1,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,16.14,1.65
80,Nalgonda,2017 - 2018,Kharif,cotton(lint),122.495,30.5,38.5,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,12.45,2.13
81,Nalgonda,2018 - 2019,Kharif,cotton(lint),118.588,,,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,12.4,1.74
82,Nalgonda,2019 - 2020,Kharif,cotton(lint),114.5433333,21,44.9,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,14.81,2.62
83,Narayanapet,2018 - 2019,Kharif,cotton(lint),92.66,,,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,15.44,0.22
84,Narayanapet,2019 - 2020,Kharif,cotton(lint),98.99333333,19.9,42.6,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,15.44,3.24
85,Nirmal,2016 - 2017,Kharif,cotton(lint),268.66,26.9,38.2,7.45,178,19.7,331,0.35,19.1,0.99,10.36,15.32,2.72
